iter	Passed	Remaining
691	12260	5456
692	12280	5440
693	12298	5422
694	12319	5406
695	12337	5388
696	12355	5371
697	12376	5354
698	12397	5338
699	12417	5321
700	12436	5304
701	12455	5287
702	12474	5270
703	12493	5252
704	12513	5236
705	12532	5218
706	12549	5200
707	12567	5183
708	12583	5164
709	12599	5146
710	12616	5128
711	12634	5110
712	12649	5091
713	12666	5073
714	12680	5054
715	12695	5035
716	12711	5017
717	12725	4998
718	12742	4979
719	12757	4961
720	12773	4942
721	12792	4925
722	12810	4908
723	12826	4889
724	12842	4871
725	12858	4853
726	12875	4835
727	12890	4816
728	12905	4797
729	12920	4778
730	12941	4762
731	12959	4744
732	12981	4728
733	13001	4711
734	13022	4695
735	13040	4677
736	13059	4660
737	13077	4642
738	13097	4625
739	13117	4608
740	13135	4591
741	13154	4574
742	13172	4556
743	13190	4538
744	13208	4521
745	13228	4503
746	13243	4485
747	13260	4467
748	13275	4448
749	13292	4430
750	13307	4412
751	13323	4393
752	13339	4375
753	13356	4357
754	13371	4338
755	13385	4320
756	13400	4301
757	13415	4282
758	13432	4264
759	13446	4246
760	13464	4228
761	13479	4209
762	13496	4192
763	13513	4174
764	13529	4155
765	13545	4138
766	13560	4119
767	13576	4101
768	13594	4083
769	13610	4065
770	13628	4047
771	13644	4029
772	13661	4011
773	13677	3993
774	13693	3975
775	13708	3957
776	13724	3938
777	13739	3920
778	13755	3902
779	13773	3884
780	13789	3866
781	13803	3848
782	13819	3829
783	13835	3811
784	13852	3793
785	13866	3775
786	13882	3757
787	13900	3739
788	13916	3721
789	13932	3703
790	13949	3685
791	13965	3667
792	13980	3649
793	13997	3631
794	14012	3613
795	14027	3594
796	14044	3577
797	14059	3559
798	14075	3540
799	14092	3523
800	14108	3505
801	14124	3487
802	14142	3469
803	14156	3451
804	14170	3432
805	14185	3414
806	14201	3396
807	14216	3378
808	14232	3360
809	14249	3342
810	14266	3324
811	14281	3306
812	14298	3288
813	14315	3271
814	14331	3253
815	14348	3235
816	14364	3217
817	14378	3199
818	14394	3181
819	14411	3163
820	14427	3145
821	14443	3127
822	14459	3109
823	14473	3091
824	14492	3074
825	14506	3055
826	14524	3038
827	14542	3020
828	14558	3002
829	14572	2984
830	14588	2966
831	14604	2948
832	14619	2930
833	14635	2913
834	14650	2895
835	14665	2877
836	14680	2858
837	14696	2841
838	14710	2822
839	14726	2805
840	14744	2787
841	14760	2769
842	14776	2751
843	14791	2734
844	14808	2716
845	14824	2698
846	14839	2680
847	14853	2662
848	14868	2644
849	14883	2626
850	14900	2608
851	14915	2591
852	14931	2573
853	14949	2555
854	14966	2538
855	14981	2520
856	14997	2502
857	15011	2484
858	15028	2466
859	15045	2449
860	15063	2431
861	15079	2414
862	15096	2396
863	15112	2378
864	15127	2360
865	15145	2343
866	15162	2325
867	15176	2307
868	15190	2290
869	15207	2272
870	15223	2254
871	15239	2236
872	15257	2219
873	15271	2201
874	15288	2184
875	15303	2166
876	15320	2148
877	15338	2131
878	15355	2113
879	15370	2095
880	15385	2078
881	15400	2060
882	15415	2042
883	15430	2024
884	15447	2007
885	15461	1989
886	15476	1971
887	15492	1954
888	15508	1936
889	15522	1918
890	15539	1900
891	15554	1883
892	15570	1865
893	15586	1848
894	15601	1830
895	15617	1812
896	15634	1795
897	15650	1777
898	15666	1760
899	15682	1742
900	15697	1724
901	15711	1706
902	15727	1689
903	15745	1672
904	15761	1654
905	15777	1636
906	15791	1619
907	15807	1601
908	15824	1584
909	15842	1566
910	15860	1549
911	15876	1531
912	15892	1514
913	15907	1496
914	15922	1479
915	15939	1461
916	15955	1444
917	15971	1426
918	15986	1409
919	16003	1391
920	16020	1374
921	16037	1356
922	16051	1339
923	16067	1321
924	16083	1304
925	16097	1286
926	16114	1268
927	16132	1251
928	16149	1234
929	16166	1216
930	16182	1199
931	16198	1181
932	16212	1164
933	16232	1147
934	16250	1129
935	16267	1112
936	16282	1094
937	16298	1077
938	16314	1059
939	16331	1042
940	16348	1025
941	16364	1007
942	16379	990
943	16396	972
944	16411	955
945	16428	937
946	16446	920
947	16463	903
948	16479	885
949	16493	868
950	16509	850
951	16525	833
952	16544	815
953	16561	798
954	16578	781
955	16593	763
956	16609	746
957	16627	728
958	16644	711
959	16660	694
960	16677	676
961	16693	659
962	16709	642
963	16725	624
964	16743	607
965	16758	589
966	16774	572
967	16790	555
968	16804	537
969	16820	520
970	16837	502
971	16853	485
972	16868	468
973	16886	450
974	16901	433
975	16915	415
976	16931	398
977	16947	381
978	16961	363
979	16978	346
980	16993	329
981	17011	311
982	17029	294
983	17047	277
984	17063	259
985	17079	242
986	17094	225
987	17108	207
988	17124	190
989	17141	173
990	17155	155
991	17170	138
992	17186	121
993	17202	103
994	17218	86
995	17236	69
996	17253	51
997	17269	34
998	17285	17
999	17299	0
